Ёлемент	N	WL	I	Source	Ion
Ac,	235951,	200,	1,	m,	1
Ac,	235952,	262.644,	5000,	,	1
Ac,	235953,	295.255,	4000,	,	1
Ac,	235954,	304.33000000000004,	1000,	,	2
Ac,	235955,	315.309,	1000,	,	2
Ac,	235956,	315.441,	1000,	,	2
Ac,	235957,	316.481,	500,	,	2
Ac,	235958,	326.091,	1000,	,	2
Ac,	235959,	339.278,	3000,	,	1
Ac,	235960,	341.777,	600,	,	2
Ac,	235961,	348.116,	1000,	,	2
Ac,	235962,	348.759,	4000,	,	1
Ac,	235963,	356.559,	2000,	,	2
Ac,	235964,	386.312,	3000,	,	2
Ac,	235965,	406.15999999999997,	500,	,	2
Ac,	235966,	408.844,	3000,	,	2
Ac,	235967,	416.84,	2000,	,	2
Ac,	235968,	438.64099999999996,	1500,	,	2
Ac,	235969,	441.309,	3000,	,	1
Ac,	235970,	445.21899999999994,	700,	,	2
Ac,	235971,	450.71999999999997,	2000,	,	2
Ac,	235972,	456.98699999999997,	4000,	,	1
Ac,	235973,	460.54499999999996,	1000,	,	2
Ac,	235974,	472.01599999999996,	1000,	,	2
Ac,	235975,	481.22200000000004,	600,	,	2
Ac,	235976,	960.1,	1,	m,	1
Ag,	235977,	200.024,	60,	c,	3
Ag,	235978,	200.068,	20,	a,	2
Ag,	235979,	201.149,	20,	c,	3
Ag,	235980,	201.589,	15,	a,	2
Ag,	235981,	203.392,	15,	a,	2
Ag,	235982,	205.7,	20,	c,	3
Ag,	235983,	206.11700000000002,	200,	a,	1
Ag,	235984,	206.59099999999998,	40,	a,	2
Ag,	235985,	206.983,	100,	a,	1
Ag,	235986,	207.561,	10,	a,	2
Ag,	235987,	208.10500000000002,	20,	c,	3
Ag,	235988,	230.964,	30,	a,	1
Ag,	235989,	237.506,	50,	a,	1
Ag,	235990,	243.779,	8,	m,	2
Ag,	235991,	253.531,	30,	s,	2
Ag,	235992,	257.57399999999996,	50,	a,	1
Ag,	235993,	272.177,	6,	m,	1
Ag,	235994,	274.39,	15,	s,	2
Ag,	235995,	282.437,	100,	a,	1
Ag,	235996,	292.935,	30,	s,	2
Ag,	235997,	309.912,	20,	a,	1
Ag,	235998,	313.00100000000003,	30,	a,	1
Ag,	235999,	317.058,	10,	a,	1
Ag,	236000,	328.068,	5500,	m,	1
Ag,	236001,	338.289,	2800,	m,	1
Ag,	236002,	346.921,	30,	a,	1
Ag,	236003,	350.809,	20,	a,	1
Ag,	236004,	354.261,	50,	a,	1
Ag,	236005,	362.471,	50,	a,	1
Ag,	236006,	368.24699999999996,	30,	a,	1
Ag,	236007,	370.925,	50,	a,	1
Ag,	236008,	381.086,	200,	a,	1
Ag,	236009,	381.178,	50,	a,	1
Ag,	236010,	384.08000000000004,	100,	a,	1
Ag,	236011,	398.164,	100,	a,	1
Ag,	236012,	405.546,	1000,	a,	1
Ag,	236013,	421.09399999999994,	9,	m,	1
Ag,	236014,	421.26800000000003,	100,	a,	1
Ag,	236015,	431.10699999999997,	50,	a,	1
Ag,	236016,	447.604,	5,	m,	1
Ag,	236017,	461.56899999999996,	30,	a,	1
Ag,	236018,	466.84799999999996,	6,	m,	1
Ag,	236019,	467.76000000000005,	30,	a,	1
Ag,	236020,	484.782,	30,	a,	1
Ag,	236021,	487.418,	100,	a,	1
Ag,	236022,	520.90699999999993,	100,	m,	1
Ag,	236023,	546.549,	100,	m,	1
Ag,	236024,	547.155,	10,	m,	1
Ag,	236025,	554.567,	20,	a,	1
Ag,	236026,	768.778,	32,	m,	1
Ag,	236027,	800.54,	25,	c,	2
Ag,	236028,	825.47,	15,	c,	2
Ag,	236029,	827.35200000000009,	50,	m,	1
Ag,	236030,	832.43999999999994,	20,	c,	2
Ag,	236031,	837.95,	15,	c,	2
Ag,	236032,	840.37999999999988,	25,	c,	2
Ag,	236033,	849.25,	15,	c,	2
Ag,	236034,	864.57,	30,	a,	1
Ag,	236035,	874.76,	12,	c,	2
Ag,	236036,	900.08999999999992,	15,	c,	2
Ag,	236037,	960.1,	1,	m,	1
Al,	236038,	200,	1,	m,	1
Al,	236039,	212.336,	2,	c,	1
Al,	236040,	212.96599999999998,	2,	c,	1
Al,	236041,	213.473,	5,	c,	1
Al,	236042,	214.55599999999998,	10,	c,	1
Al,	236043,	215.07,	30,	c,	1
Al,	236044,	216.038,	10,	c,	1
Al,	236045,	216.458,	0,	,	1
Al,	236046,	216.49200000000002,	5,	c,	1
Al,	236047,	216.88299999999998,	8,	h,	1
Al,	236048,	216.984,	0,	,	1
Al,	236049,	217.407,	8,	h,	1
Al,	236050,	217.74,	20,	c,	1
Al,	236051,	218.1,	30,	c,	1
Al,	236052,	219.91799999999998,	0,	,	1
Al,	236053,	220.462,	10,	h,	1
Al,	236054,	221.006,	12,	h,	1
Al,	236055,	221.013,	0,	,	1
Al,	236056,	225.80100000000002,	8,	h,	1
Al,	236057,	226.346,	60,	h,	1
Al,	236058,	226.37399999999997,	4,	h,	1
Al,	236059,	226.60100000000003,	10,	c,	1
Al,	236060,	226.91,	53,	m,	1
Al,	236061,	226.92199999999997,	15,	h,	1
Al,	236062,	231.10399999999999,	20,	c,	1
Al,	236063,	231.24899999999997,	30,	c,	1
Al,	236064,	231.353,	60,	c,	1
Al,	236065,	231.498,	20,	c,	1
Al,	236066,	231.748,	100,	c,	1
Al,	236067,	231.906,	30,	c,	1
Al,	236068,	232.156,	300,	c,	1
Al,	236069,	236.705,	45,	m,	1
Al,	236070,	236.76100000000002,	200,	c,	1
Al,	236071,	236.811,	200,	c,	1
Al,	236072,	236.93,	500,	c,	1
Al,	236073,	237.023,	300,	c,	1
Al,	236074,	237.073,	60,	c,	1
Al,	236075,	237.20700000000002,	3,	a,	1
Al,	236076,	237.31199999999998,	90,	m,	1
Al,	236077,	237.33499999999998,	16,	m,	1
Al,	236078,	237.35700000000003,	200,	c,	1
Al,	236079,	237.45,	20,	c,	1
Al,	236080,	237.84,	4,	m,	1
Al,	236081,	251.331,	30,	c,	1
Al,	236082,	251.92199999999997,	20,	c,	1
Al,	236083,	251.952,	2,	c,	1
Al,	236084,	256.798,	24,	m,	1
Al,	236085,	257.51,	48,	m,	1
Al,	236086,	257.54,	4,	m,	1
Al,	236087,	265.243,	15,	m,	1
Al,	236088,	265.741,	10,	c,	1
Al,	236089,	266.039,	20,	m,	1
Al,	236090,	266.91700000000003,	500,	c,	2
Al,	236091,	274.098,	20,	c,	1
Al,	236092,	274.807,	10,	c,	1
Al,	236093,	283.786,	5,	c,	1
Al,	236094,	283.796,	100,	c,	1
Al,	236095,	284.01,	100,	c,	1
Al,	236096,	284.021,	5,	c,	1
Al,	236097,	289.423,	10,	c,	1
Al,	236098,	290.226,	5,	c,	1
Al,	236099,	291.327,	10,	c,	1
Al,	236100,	305.008,	500,	c,	1
Al,	236101,	305.46799999999996,	30,	c,	1
Al,	236102,	305.714,	1000,	c,	1
Al,	236103,	305.903,	20,	c,	1
Al,	236104,	305.992,	20,	c,	1
Al,	236105,	306.429,	100,	c,	1
Al,	236106,	306.615,	30,	c,	1
Al,	236107,	308.21500000000003,	320,	m,	1
Al,	236108,	309.271,	650,	m,	1
Al,	236109,	309.284,	5000,	c,	1
Al,	236110,	343.935,	60,	c,	1
Al,	236111,	344.364,	300,	c,	1
Al,	236112,	344.48699999999997,	60,	c,	1
Al,	236113,	345.26599999999996,	5,	c,	1
Al,	236114,	345.822,	60,	c,	1
Al,	236115,	347.981,	30,	c,	1
Al,	236116,	348.26300000000003,	30,	c,	1
Al,	236117,	393.2,	30,	c,	1
Al,	236118,	393.568,	20,	c,	1
Al,	236119,	394.401,	450,	m,	1
Al,	236120,	396.152,	900,	m,	1
